TimeStamp,Dataset Name,TimeStamp,Hub Wind Speed,Hub Turbulence,REWS To Hub Ratio Full,REWS To Hub Ratio Just Wind Speed,REWS To Hub Ratio Just Wind Speed And Veer,REWS To Hub Ratio Just Wind Speed And Upflow,REWS To Hub Ratio Deviation,Input Hub Wind Speed,Wind Speed Bin,Turbulence Bin,Hub Power,Normalised WS,Rotor Equivalent Wind Speed,REWS Power,Simulated TI Corrected Power,Combined Power,Power Deviation Matrix Power,Base Power
2012-10-31 21:10:00,Dataset 2,2012-10-31 21:10:00,14.503582,0.069638,0.996913464259,0.996913464259,0.996913464259,0.996913464259,-0.0030865357409,14.503582,15.0,0.07,2000.0,1.59398942905,14.4588161758,2000.0,1999.64140492,1999.70298047,2000.0,2000.0
2012-10-31 21:20:00,Dataset 2,2012-10-31 21:20:00,13.405007,0.076091,1.00641739113,1.00641739113,1.00641739113,1.00641739113,0.0064173911277,13.405007,13.0,0.07,1999.405007,1.42727326146,13.491032173,1999.49103217,2000.0,2000.0,1999.405007,1999.405007
2012-10-31 21:30:00,Dataset 2,2012-10-31 21:30:00,14.03413,0.067692,1.00509033249,1.00509033249,1.00509033249,1.00509033249,0.00509033248844,14.03413,14.0,0.07,2000.0,1.52274692098,14.1055683879,2000.0,2000.0,2000.0,2000.0,2000.0
2012-10-31 21:40:00,Dataset 2,2012-10-31 21:40:00,14.343598,0.071112,1.00002457808,1.00002457808,1.00002457808,1.00002457808,2.4578084044e-05,14.343598,14.0,0.07,2000.0,1.56971077775,14.3439505382,2000.0,1999.96109169,1999.9604207,2000.0,2000.0
2012-10-31 21:50:00,Dataset 2,2012-10-31 21:50:00,14.225367,0.080842,1.00177223985,1.00177223985,1.00177223985,1.00177223985,0.00177223984747,14.225367,14.0,0.09,2000.0,1.55176842587,14.2505777622,2000.0,2000.0,2000.0,2000.0,2000.0
2012-10-31 22:00:00,Dataset 2,2012-10-31 22:00:00,14.361699,0.066148,0.997259824231,0.997259824231,0.997259824231,0.997259824231,-0.00274017576922,14.361699,14.0,0.07,2000.0,1.57245772661,14.3223454204,2000.0,1999.70156301,1999.77431563,2000.0,2000.0
2012-10-31 22:10:00,Dataset 2,2012-10-31 22:10:00,14.196326,0.068328,1.00156104124,1.00156104124,1.00156104124,1.00156104124,0.00156104124307,14.196326,14.0,0.07,2000.0,1.5473612582,14.2184870504,2000.0,2000.0,2000.0,2000.0,2000.0
2012-10-31 22:20:00,Dataset 2,2012-10-31 22:20:00,13.318743,0.057062,1.00599050774,1.00599050774,1.00599050774,1.00599050774,0.00599050774406,13.318743,13.0,0.05,1999.318743,1.41418211749,13.3985290331,1999.39852903,2000.0,2000.0,1999.318743,1999.318743
2012-10-31 22:30:00,Dataset 2,2012-10-31 22:30:00,12.952496,0.073345,1.0031541997,1.0031541997,1.0031541997,1.0031541997,0.00315419970019,12.952496,13.0,0.07,1998.477456,1.35860166442,12.993350759,1998.92685835,2000.0,2000.0,1998.477456,1998.477456
2012-10-31 22:40:00,Dataset 2,2012-10-31 22:40:00,12.602363,0.080937,1.00418781897,1.00418781897,1.00418781897,1.00418781897,0.00418781897245,12.602363,13.0,0.09,1994.625993,1.30546661956,12.6551394149,1995.20653356,2000.0,2000.0,1994.625993,1994.625993
2012-10-31 22:50:00,Dataset 2,2012-10-31 22:50:00,11.866965,0.079211,1.00694795441,1.00694795441,1.00694795441,1.00694795441,0.00694795441482,11.866965,12.0,0.07,1976.82506,1.19386501183,11.9494161319,1983.75095508,2000.0,2000.0,1982.75553518,1976.82506
2012-10-31 23:00:00,Dataset 2,2012-10-31 23:00:00,11.129579,0.070084,0.999301968593,0.999301968593,0.999301968593,0.999301968593,-0.00069803140737,11.129579,11.0,0.07,1914.884636,1.08196171169,11.1218102043,1914.23205716,1968.63477879,1968.05090397,1932.11859772,1914.884636
2012-10-31 23:10:00,Dataset 2,2012-10-31 23:10:00,11.615514,0.067152,1.00099501767,1.00099501767,1.00099501767,1.00099501767,0.000995017667084,11.615514,12.0,0.07,1955.703176,1.15570562621,11.6270716416,1956.6740179,2000.0,2000.0,1961.57028553,1955.703176
2012-10-31 23:20:00,Dataset 2,2012-10-31 23:20:00,11.981417,0.070943,1.00038454745,1.00038454745,1.00038454745,1.00038454745,0.00038454745255,11.981417,12.0,0.07,1986.439028,1.21123387496,11.9860244234,1986.82605156,2000.0,2000.0,1992.39834508,1986.439028
2012-10-31 23:30:00,Dataset 2,2012-10-31 23:30:00,12.196023,0.067235,1.00480529463,1.00480529463,1.00480529463,1.00480529463,0.00480529462555,12.196023,12.0,0.07,1990.156253,1.24380178326,12.2546284838,1990.80091332,2000.0,2000.0,1996.12672176,1990.156253
2012-10-31 23:40:00,Dataset 2,2012-10-31 23:40:00,12.433999,0.060318,1.00823863675,1.00823863675,1.00823863675,1.00823863675,0.00823863674719,12.433999,12.0,0.07,1992.773989,1.27991624673,12.5364382011,1993.90082021,2000.0,2000.0,1992.773989,1992.773989
2012-10-31 23:50:00,Dataset 2,2012-10-31 23:50:00,12.518034,0.067902,1.00264421922,1.00264421922,1.00264421922,1.00264421922,0.00264421921682,12.518034,13.0,0.07,1993.698374,1.2926691249,12.5511344261,1994.06247869,2000.0,2000.0,1993.698374,1993.698374
2012-11-01 00:00:00,Dataset 2,2012-11-01 00:00:00,13.095535,0.06109,0.999083812442,0.999083812442,0.999083812442,0.999083812442,-0.000916187557858,13.095535,13.0,0.07,1999.095535,1.38030879766,13.0835370338,1999.08353703,2000.0,2000.0,1999.095535,1999.095535
2012-11-01 00:10:00,Dataset 2,2012-11-01 00:10:00,12.957518,0.073317,1.00304658374,1.00304658374,1.00304658374,1.00304658374,0.00304658373835,12.957518,13.0,0.07,1998.532698,1.3593637868,12.9969941636,1998.9669358,2000.0,2000.0,1998.532698,1998.532698
2012-11-01 00:20:00,Dataset 2,2012-11-01 00:20:00,13.022105,0.069113,1.00265461327,1.00265461327,1.00265461327,1.00265461327,0.00265461327155,13.022105,13.0,0.07,1999.022105,1.36916529978,13.0566736528,1999.05667365,2000.0,2000.0,1999.022105,1999.022105
2012-11-01 00:30:00,Dataset 2,2012-11-01 00:30:00,12.748374,0.08001,1.00680146988,1.00680146988,1.00680146988,1.00680146988,0.00680146988018,12.748374,13.0,0.09,1996.232114,1.32762477385,12.8350816818,1997.1858985,2000.0,2000.0,1996.232114,1996.232114
2012-11-01 00:40:00,Dataset 2,2012-11-01 00:40:00,13.023581,0.073712,1.00793566304,1.00793566304,1.00793566304,1.00793566304,0.00793566303502,13.023581,13.0,0.07,1999.023581,1.36938929274,13.1269317503,1999.12693175,2000.0,2000.0,1999.023581,1999.023581
2012-11-01 00:50:00,Dataset 2,2012-11-01 00:50:00,12.705505,0.08579,0.997287706893,0.997287706893,0.997287706893,0.997287706893,-0.00271229310658,12.705505,13.0,0.09,1995.760555,1.32111911389,12.6710439464,1995.38148341,2000.0,2000.0,1995.760555,1995.760555
2012-11-01 01:00:00,Dataset 2,2012-11-01 01:00:00,12.937459,0.075749,0.998640722228,0.998640722228,0.998640722228,0.998640722228,-0.00135927777187,12.937459,13.0,0.07,1998.312049,1.35631969823,12.9198733996,1998.1186074,2000.0,2000.0,1998.312049,1998.312049
