TimeStamp	Name	Time Stamp	Hub Wind Speed	Hub Turbulence	Shear Exponent	Profile Rotor Wind Speed	Profile Hub Wind Speed	Hub to Rotor Ratio	Hub to Rotor Deviation	Input Hub Wind Speed	Wind Speed Bin	Turbulence Bin	Base Power	Hub Power	Rotor Equivalent Wind Speed	REWS Power	Turbulence Power	Combined Power
2012-03-27 05:50:00	Dataset 1	2012-03-27 05:50:00	7.81	0.12548	0.22410295127342875	7.709485087120322	7.5921932689011165	1.015449003214875	0.015449003214875079	7.81	8.0	0.13	831.81	831.81	7.930656715108174	867.93	844.4979520799803	880.8215028438995
2012-03-27 06:00:00	Dataset 1	2012-03-27 06:00:00	6.69	0.149477	0.2951613392474511	6.681860804098008	6.553585399266091	1.019573317049669	0.019573317049669026	6.69	7.0	0.15000000000000002	517.94	517.94	6.820945491062286	547.32	535.9347202663573	566.477331045731
2012-03-27 06:10:00	Dataset 1	2012-03-27 06:10:00	5.81	0.129088	0.33702883881869683	5.63407597693597	5.4989865770483775	1.0245662356135632	0.024566235613563192	5.81	6.0	0.13	331.22	331.22	5.952729828914801	353.9	336.2519478459004	359.7989913293593
2012-03-27 06:20:00	Dataset 1	2012-03-27 06:20:00	4.96	0.15120999999999998	0.17230592697759609	4.859584900687256	4.79670180925284	1.0131096519931913	0.013109651993191251	4.96	5.0	0.15000000000000002	195.64	195.64	5.025023873886228	204.86	200.23405619868038	209.36465363016157
2012-03-27 06:30:00	Dataset 1	2012-03-27 06:30:00	5.31	0.13935999999999998	0.3353324731835373	4.915036942944619	4.807345185673157	1.0224015029318896	0.022401502931889583	5.31	5.0	0.13	250.22	250.22	5.428951980568334	269.66	253.79627164951344	273.9115660260904
2012-03-27 07:10:00	Dataset 1	2012-03-27 07:10:00	6.1	0.137705	0.2503315819730651	6.2787561785810215	6.292420719810549	0.9978284126510316	-0.0021715873489683846	6.1	6.0	0.13	384.6	384.6	6.086753317171293	382.34	393.6400134208248	391.279445520521
2012-03-27 11:40:00	Dataset 1	2012-03-27 11:40:00	10.85	0.077419	0.12576185089790762	10.78471275748099	10.902363866094166	0.9892086606117536	-0.01079133938824639	10.85	11.0	0.06999999999999999	1863.95	1863.95	10.732913967637526	1831.91	1904.8707896642895	1871.897941462956
2012-03-27 11:50:00	Dataset 1	2012-03-27 11:50:00	9.58	0.106472	0.19029944934237297	9.533794464669917	9.555456226031318	0.9977330479205808	-0.002266952079419182	9.58	10.0	0.11	1476.98	1476.98	9.558282599079165	1469.36	1473.742348290068	1466.312992960228
2012-03-27 12:00:00	Dataset 1	2012-03-27 12:00:00	9.55	0.115183	0.21051974093126846	9.6101220672869	9.704967978065634	0.9902270763805613	-0.009772923619438711	9.55	10.0	0.11	1465.55	1465.55	9.45666857943436	1431.26	1458.1374803776148	1425.706074509687
2012-03-27 12:10:00	Dataset 1	2012-03-27 12:10:00	8.74	0.140732	0.15258997792790777	8.448702502967485	8.444151373964942	1.0005389681924195	0.0005389681924194978	8.74	9.0	0.15000000000000002	1160.58	1160.58	8.744710582001746	1160.58	1171.8653555907858	1171.7351210555325
2012-03-27 12:20:00	Dataset 1	2012-03-27 12:20:00	8.62	0.175174	0.14615994019975476	8.537953191017085	8.522515198510874	1.0018114361953745	0.001811436195374494	8.62	9.0	0.17	1116.54	1116.54	8.635614580004127	1123.88	1137.7210665879006	1144.3012693349976
2012-03-27 12:30:00	Dataset 1	2012-03-27 12:30:00	9.32	0.13412000000000002	0.11096843797501049	8.747637139871692	8.661377970255963	1.0099590584675964	0.009959058467596371	9.32	9.0	0.13	1377.92	1377.92	9.412818424918	1412.21	1369.1982244429335	1399.645998619237
2012-03-27 12:40:00	Dataset 1	2012-03-27 12:40:00	9.76	0.14139300000000002	0.20399483094979065	9.6761791364706	9.779632862507981	0.9894215122907128	-0.010578487709287154	9.76	10.0	0.15000000000000002	1545.56	1545.56	9.656753959957356	1507.46	1511.4034463109724	1478.7186818885532
2012-03-27 12:50:00	Dataset 1	2012-03-27 12:50:00	11.12	0.139388	0.1541687949688385	10.912967761658845	10.951279139026175	0.9965016527401988	-0.003498347259801249	11.12	11.0	0.13	1914.08	1914.08	11.08109837847101	1910.72	1843.3275902001658	1839.9484050234435
2012-03-27 13:00:00	Dataset 1	2012-03-27 13:00:00	11.65	0.112446	0.11579010496622778	11.494644455849164	11.589676910816243	0.991800249851798	-0.008199750148201956	11.65	12.0	0.11	1958.6	1958.6	11.554472910773448	1950.2	1938.5624306474708	1929.465958984514
2012-03-27 13:10:00	Dataset 1	2012-03-27 13:10:00	11.79	0.17218	0.11058993306587024	11.521660725861743	11.469836159677307	1.0045183353504759	0.004518335350475855	11.79	12.0	0.17	1970.36	1970.36	11.84327117378211	1974.56	1854.265676050922	1860.0864725657439
2012-03-27 13:20:00	Dataset 1	2012-03-27 13:20:00	14.42	0.108877	0.15997542582569513	14.230893867541676	14.266817669534456	0.9974820031471004	-0.002517996852899551	14.42	14.0	0.11	2000.0	2000.0	14.383690485381189	2000.0	1999.1189986672953	1999.0651605136773
2012-03-27 13:30:00	Dataset 1	2012-03-27 13:30:00	14.77	0.090724	0.20506066144825255	13.654887744971042	13.594063487335445	1.0044743249648835	0.004474324964883536	14.77	15.0	0.09	2000.0	2000.0	14.836085779731329	2000.0	2000.0	2000.0
2012-03-27 13:40:00	Dataset 1	2012-03-27 13:40:00	13.34	0.127436	0.12466955085010077	13.053604310283175	13.084057711672505	0.997672480352776	-0.0023275196472239967	13.34	13.0	0.13	1999.34	1999.34	13.308950887906033	1999.31	1984.1118555090934	1983.657168375591
2012-03-27 13:50:00	Dataset 1	2012-03-27 13:50:00	12.03	0.13050699999999998	0.16358438375384907	11.88307991974329	11.919945524542891	0.9969072337852807	-0.0030927662147193224	12.03	12.0	0.13	1988.33	1988.33	11.992794022436925	1987.16	1945.3031501497098	1943.3763490107644
